Country;PL before;CCTB
ES;12314435604,00;22827191614,94
PT;-126757547,00;186701573,89
DE;26723114263,00;39979708486,61
GB;69401891049,00;46930904174,29
BE;7621875247,00;6694957828,34
FR;31043443352,00;40422323566,81
LU;1180852741,00;1162408913,81
NL;56325228711,00;34378162685,24
SE;16957302897,00;19883253946,02
MT;1376656515,00;646319006,33
PL;3210075422,00;9206837708,42
CZ;2742878503,00;1823927319,84
LV;179822454,00;272870762,74
AT;7939061042,00;6666938885,85
SK;870675924,00;1687076034,41
EE;434615566,00;557510375,31
DK;6040812987,00;5051513889,66
SI;130935810,00;352492164,24
LT;-308457973,00;355602977,87
HU;446578938,00;3655035545,93
FI;3128537697,00;3389966204,74
IE;2074204059,00;2486625060,25
GR;-95248926,00;687069316,91
CY;173147401,00;480283693,55
