Country ISO code;BvD ID number;NACE Rev. 2 primary code;GUO - Country ISO code;GUO - BvD ID number;Result OP Revenue;Result - EMPl;Result - assets;Result P/L
ES;ESA64728041;7022;AD;AD32845;30138;1;7588;8128
ES;ESB17268491;6622;AD;AD32845;3789596;40;169929;336782
PT;PT500188297;1712;AE;AE*110008198821;13166873;84;10155792;161008
DE;DE5410265141;6810;AE;AE*110013840359;1180500;1;10338071;412656
GB;GB00040946;9312;AE;AE*915265837;428258386;314;428008731;-28338229
GB;GB02473227;6832;AE;AE*B000071523;2014474;14;37281;122128
GB;GB03928481;6499;AE;AE*B000071523;203119;1;1;-523223
GB;GB03910141;4638;AE;AE*B000077124;4452831;1;1;-81339
BE;BE0432746692;2016;AE;AE0000055630;54597631;174;51787654;3526505
BE;BE0472876879;2014;AE;AE0000055630;21564955;103;12964706;1067854
DE;DE3210146250;2540;AE;AE0000055630;5672965;3;103884;17859
ES;ESA11906773;4671;AE;AE0000055630;28555219;60;9918180;2864147
ES;ESA28017184;610;AE;AE0000055630;79852350;291;175260;5093650
ES;ESA28142552;3514;AE;AE0000055630;127848023;30;39929621;7374823
ES;ESA35122779;5224;AE;AE0000055630;36620434;67;63199181;-449707
ES;ESA35146034;5223;AE;AE0000055630;10154638;43;6653157;2271114
ES;ESA80298896;4671;AE;AE0000055630;4779319000;854;703602000;118303000
ES;ESA81861122;2014;AE;AE0000055630;3703039000;697;265422000;118391000
ES;ESA82829110;610;AE;AE0000055630;487686000;315;442500000;351244000
ES;ESA84406511;6820;AE;AE0000055630;7144059;1;1;-18772407
ES;ESA84601939;6820;AE;AE0000055630;9939380;1;1;315021
ES;ESA85092906;610;AE;AE0000055630;1;29;1637896;-12297497
ES;ESA85981124;3514;AE;AE0000055630;2344667;1;1;-401966
ES;ESA86597325;4671;AE;AE0000055630;18965201480;56;1;19683110
ES;ESA86894433;8211;AE;AE0000055630;19516000;255;1;766000
FR;ESB83743815;5223;AE;AE0000055630;15247863;110;2108592;2039710
FR;FR421454406;2015;AE;AE0000055630;391394899;687;326229934;-80482673
FR;FR611780198;4675;AE;AE0000055630;7644620;35;1454781;250933
FR;FR790175624;6420;AE;AE0000055630;1;1;1;-4916
FR;FR946750981;2015;AE;AE0000055630;171389616;1;26489063;27672601
FR;LULB132723;8290;AE;AE0000055630;-1000;1;1;12277000
FR;LULB66944;8290;AE;AE0000055630;1;1;1;17497000
FR;NL27149802;610;AE;AE0000055630;354180000;151;738647000;63565000
FR;NL33176580;6420;AE;AE0000055630;1;5;1;-451532
FR;NL34316285;4651;AE;AE0000055630;1610945516;2;1;6989507
FR;NL34316288;6420;AE;AE0000055630;331;1;1;-2694223
FR;NL55247547;7010;AE;AE0000055630;1;3;1;10404410
FR;NL56400470;990;AE;AE0000055630;1;113;172288853;-8800753
FR;SE5560786633;2016;AE;AE0000055630;247248620;904;725446082;6714993
